iter	Passed	Remaining
0	57	57821
1	58	29036
2	58	19441
3	58	14656
4	59	11794
5	59	9875
6	60	8529
7	60	7493
8	60	6695
9	61	6060
10	61	5530
11	61	5095
12	62	4726
13	62	4414
14	63	4145
15	63	3901
16	63	3695
17	64	3503
18	64	3332
19	64	3183
20	65	3050
21	65	2921
22	66	2804
23	66	2698
24	66	2603
25	67	2511
26	67	2427
27	67	2351
28	68	2283
29	68	2214
30	68	2153
31	69	2092
32	69	2036
33	69	1986
34	70	1941
35	70	1893
36	71	1849
37	71	1806
38	71	1769
39	72	1730
40	72	1697
41	72	1662
42	73	1632
43	73	1601
44	74	1570
45	74	1540
46	74	1513
47	74	1486
48	75	1460
49	75	1435
50	75	1411
51	76	1387
52	76	1365
53	76	1344
54	77	1323
55	77	1304
56	77	1284
57	77	1265
58	78	1248
59	78	1231
60	79	1217
61	79	1203
62	79	1187
63	80	1173
64	80	1158
65	80	1144
66	81	1130
67	81	1116
68	81	1103
69	82	1090
70	82	1078
71	82	1066
72	83	1054
73	83	1043
74	83	1032
75	84	1021
76	84	1010
77	84	1000
78	84	989
79	85	979
80	85	970
81	85	961
82	86	950
83	86	941
84	86	933
85	86	924
86	87	915
87	87	907
88	87	899
89	88	891
90	88	884
91	88	876
92	89	868
93	89	861
94	89	854
95	89	847
96	90	840
97	90	835
98	91	828
99	91	822
100	91	817
101	92	811
102	92	805
103	92	799
104	93	793
105	93	788
106	93	782
107	94	776
108	94	771
109	94	765
110	94	760
111	95	755
112	95	750
113	96	746
114	96	742
115	96	737
116	96	731
117	97	727
118	97	723
119	98	719
120	98	715
121	98	710
122	98	705
123	99	701
124	99	697
125	100	694
126	100	690
127	100	686
128	101	683
129	101	678
130	101	675
131	102	671
132	102	668
133	102	664
134	103	660
135	103	656
136	103	653
137	104	649
138	104	646
139	104	642
140	104	639
141	105	635
142	105	631
143	105	629
144	106	627
145	106	624
146	107	620
147	107	617
148	107	614
149	107	611
150	108	608
151	108	605
152	108	602
153	109	600
154	109	597
155	110	595
156	110	592
157	110	589
158	110	586
159	111	583
160	111	580
161	111	578
162	112	575
163	112	574
164	112	571
165	113	569
166	113	566
167	113	564
168	114	561
169	114	559
170	114	556
171	115	554
172	115	552
173	115	550
174	116	547
175	116	545
176	116	543
177	117	540
178	117	538
179	117	536
180	118	534
181	118	532
182	118	530
183	119	531
184	120	529
185	120	527
186	120	525
187	121	523
188	121	521
189	121	519
190	122	517
191	122	515
192	122	513
193	123	511
194	123	510
195	123	508
196	124	506
197	124	504
198	124	502
199	125	500
200	125	498
201	125	496
202	126	495
203	126	493
204	126	491
205	127	490
206	127	488
207	128	487
208	128	486
209	128	484
210	129	483
211	129	482
212	130	480
213	130	478
214	130	477
215	131	475
216	131	473
217	131	472
218	132	471
219	132	471
220	133	469
221	133	468
222	134	466
223	134	465
224	134	464
225	135	462
226	135	461
227	135	459
228	136	458
229	136	456
230	136	455
231	137	453
232	137	452
233	137	451
234	138	449
235	138	448
236	138	447
237	139	445
238	139	443
239	139	442
240	140	441
241	140	439
242	140	438
243	141	437
244	141	436
245	141	434
246	142	433
247	142	432
248	142	431
249	143	429
250	143	428
251	143	426
252	144	425
253	144	424
254	144	423
255	145	422
256	145	421
257	146	419
258	146	418
259	146	418
260	147	416
261	147	415
262	147	414
263	148	413
264	148	412
265	149	411
266	149	410
267	149	409
268	150	407
269	150	406
270	150	405
271	151	404
272	151	403
273	151	402
274	152	401
275	152	400
276	152	399
277	153	398
278	153	397
279	154	396
280	154	395
281	154	394
282	155	393
283	155	392
284	155	390
285	156	389
286	156	388
287	156	387
288	157	387
289	157	386
290	158	385
291	158	384
292	158	383
293	159	382
294	159	381
295	159	380
296	160	379
297	160	378
298	161	378
299	161	377
300	162	376
301	162	375
302	162	374
303	163	373
304	163	373
305	164	372
306	164	371
307	164	370
308	165	369
309	165	368
310	165	367
311	166	366
312	166	365
313	166	364
314	167	363
315	167	362
316	167	361
317	168	360
318	168	359
319	168	358
320	169	357
321	169	357
322	169	356
323	170	355
324	170	354
325	171	353
326	171	352
327	171	351
328	172	351
329	172	350
330	173	349
331	173	348
332	173	348
333	174	347
334	174	346
335	175	345
336	175	345
337	175	344
338	176	343
339	176	342
340	176	341
341	177	341
342	177	340
343	178	339
344	178	339
345	179	338
346	179	337
347	179	336
348	179	335
349	180	334
350	180	334
351	180	333
352	181	332
353	181	331
354	181	330
355	182	329
356	182	328
357	182	327
358	182	326
359	183	325
360	183	324
361	183	323
362	184	323
363	184	322
364	184	321
365	185	320
366	185	319
367	185	318
368	185	317
369	186	317
370	186	316
371	186	315
372	187	314
373	187	313
374	187	312
375	187	311
376	188	310
377	188	310
378	188	309
379	189	308
380	189	307
381	189	306
382	189	306
383	190	305
384	190	304
385	190	303
386	191	302
387	191	302
388	191	301
389	192	300
390	192	300
391	193	299
392	193	298
393	193	297
394	193	297
395	194	296
396	194	295
397	194	294
398	195	293
399	195	293
400	195	292
401	195	291
402	196	290
403	196	289
404	196	289
405	197	288
406	197	287
407	197	286
408	197	286
409	198	285
410	198	284
411	198	283
412	199	282
413	199	282
414	199	281
415	199	280
416	200	280
417	200	279
418	200	278
419	201	277
420	201	277
421	201	276
422	202	275
423	202	275
424	202	274
425	203	273
426	203	272
427	203	272
428	203	271
429	204	270
430	204	270
431	204	269
432	205	268
433	205	268
434	205	267
435	206	266
436	206	265
437	206	265
438	207	264
439	207	263
440	207	263
441	208	262
442	208	261
443	208	261
444	208	260
445	209	259
446	209	259
447	209	258
448	210	257
449	210	257
450	210	256
451	210	255
452	211	255
453	211	254
454	211	253
455	212	253
456	212	252
457	212	251
458	212	251
459	213	250
460	213	249
461	213	248
462	214	248
463	214	247
464	214	247
465	215	246
466	215	245
467	215	245
468	215	244
469	216	243
470	216	243
471	216	242
472	216	241
473	217	241
474	217	240
475	217	239
476	218	239
477	218	238
478	218	237
479	218	237
480	219	236
481	219	235
482	219	235
483	219	234
484	220	233
485	220	233
486	220	232
487	221	231
488	221	231
489	221	230
490	222	230
491	222	229
492	222	229
493	223	228
494	223	227
495	223	227
496	224	226
497	224	226
498	224	225
499	225	225
500	225	224
501	225	223
502	225	223
503	226	222
504	226	221
505	226	221
506	227	220
507	227	220
508	227	219
509	227	219
510	228	218
511	228	217
512	228	217
513	229	216
514	229	216
515	229	215
516	230	214
517	230	214
518	230	213
519	230	213
520	231	212
521	231	212
522	231	211
523	232	210
524	232	210
525	232	209
526	232	209
527	233	208
528	233	207
529	233	207
530	234	206
